city,lat,lng,country,population,id,Len
Basseterre,17.302,-62.717,Saint Kitts And Nevis,21887,10064,10
Bratislava,48.15,17.117,Slovakia,423737,10101,10
Bridgetown,13.102,-59.6165,Barbados,191152,10103,10
Georgetown,6.802,-58.167,Guyana,264350,10195,10
Grand Turk,21.4664,-71.136,Turks And Caicos Islands,5801,10204,10
Libreville,0.3854,9.458,Gabon,578156,10269,10
Luxembourg,49.6117,6.13,Luxembourg,107260,10300,10
Montevideo,-34.858,-56.1711,Uruguay,1513000,10344,10
Nouakchott,18.0864,-15.9753,Mauritania,742144,10374,10
Oranjestad,12.5304,-70.029,Aruba,68775,10388,10
Paramaribo,5.835,-55.167,Suriname,254169,10421,10
Phnom Penh,11.55,104.9166,Cambodia,1466000,10427,10
Port Louis,-20.1666,57.5,Mauritius,595491,10433,10
Porto-Novo,6.4833,2.6166,Benin,300000,10452,10
San Marino,43.9172,12.4667,San Marino,29579,10499,10
Washington,38.9047,-77.0163,United States,5191844,10608,10
Wellington,-41.3,174.7833,New Zealand,393400,10613,10
Abu Dhabi,24.4667,54.3666,United Arab Emirates,603492,10000,9
Amsterdam,52.35,4.9166,Netherlands,1031000,10018,9
Bucharest,44.4334,26.0999,Romania,1942000,10107,9
Bujumbura,-3.3761,29.36,Burundi,331700,10116,9
Cape Town,-33.92,18.435,South Africa,3215000,10125,9
Gibraltar,36.1324,-5.3781,Gibraltar,187083,10199,9
Guatemala,14.6211,-90.527,Guatemala,1024000,10209,9
Islamabad,33.7,73.1666,Pakistan,780000,10233,9
Kathmandu,27.7167,85.3166,Nepal,895000,10245,9
Kingstown,13.1483,-61.2121,Saint Vincent And The Grenadines,49485,10258,9
Kobenhavn,55.6786,12.5635,Denmark,1085000,10261,9
Ljubljana,46.0553,14.515,Slovenia,314807,10281,9
Mogadishu,2.0667,45.3667,Somalia,1100000,10332,9
New Delhi,28.6,77.2,India,317797,10365,9
Nukualofa,-21.1385,-175.2206,Tonga,42620,10378,9
Pago Pago,-14.274,-170.7046,American Samoa,12576,10405,9
Podgorica,42.466,19.2663,Montenegro,145850,10428,9
Port Vila,-17.7334,168.3166,Vanuatu,44040,10443,9
Pyongyang,39.0194,125.7547,North Korea,3300000,10471,9
Reykjavik,64.15,-21.95,Iceland,166212,10479,9
Singapore,1.293,103.8558,Singapore,5183700,10524,9
Stockholm,59.3508,18.0973,Sweden,1264000,10535,9
The Hague,52.08,4.27,Netherlands,1406000,10563,9
Vientiane,17.9667,102.6,Laos,754000,10599,9
Ashgabat,37.95,58.3833,Turkmenistan,727700,10036,8
Asuncion,-25.2964,-57.6415,Paraguay,1870000,10042,8
Belgrade,44.8186,20.468,Serbia,1099000,10075,8
Belmopan,17.252,-88.7671,Belize,15220,10077,8
Brasilia,-15.7833,-47.9161,Brazil,3716996,10096,8
Brussels,50.8333,4.3333,Belgium,1743000,10106,8
Budapest,47.5,19.0833,Hungary,1679000,10109,8
Canberra,-35.283,149.129,Australia,327700,10124,8
Castries,14.002,-61,Saint Lucia,37963,10135,8
Chisinau,47.005,28.8577,Moldova,688134,10136,8
Damascus,33.5,36.3,Syria,2466000,10153,8
Djibouti,11.595,43.148,Djibouti,923000,10165,8
Dushanbe,38.56,68.7739,Tajikistan,1086244,10182,8
Freetown,8.47,-13.2342,Sierra Leone,827000,10184,8
Funafuti,-8.5167,179.2166,Tuvalu,4749,10185,8
Gaborone,-24.6463,25.9119,Botswana,208411,10188,8
Hamilton,32.2942,-64.7839,Bermuda,52320,10216,8
Helsinki,60.1756,24.9341,Finland,1115000,10227,8
Khartoum,15.5881,32.5342,Sudan,4754000,10248,8
Kingston,17.9771,-76.7674,Jamaica,937700,10256,8
